City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,ambon,-3.6954,128.1814,26.16,14,40,2.57,ID,2023-11-07 19:05:55
217,vila velha,-20.3297,-40.2925,24.97,69,20,7.2,BR,2023-11-07 19:05:56
218,bondoukou,8.0333,-2.8,26.99,67,83,2.27,CI,2023-11-07 19:05:58
219,ngereklmadel,7.4883,134.4856,25.05,94,75,0.0,PW,2023-11-07 19:05:59
220,port saint john's,-31.6229,29.5448,18.86,77,100,5.38,ZA,2023-11-07 19:06:00
221,saudarkrokur,65.7461,-19.6394,-0.04,68,0,2.58,IS,2023-11-07 19:06:01
222,suva,-18.1416,178.4415,23.71,94,40,1.54,FJ,2023-11-07 19:06:02
223,thompson,55.7435,-97.8558,-2.91,74,75,1.54,CA,2023-11-07 19:01:43
224,shemysheyka,52.892,45.3928,8.35,94,94,4.87,RU,2023-11-07 19:06:04
225,sept-iles,50.2001,-66.3821,0.59,97,100,8.75,CA,2023-11-07 19:01:24
226,nuku'alofa,-21.1333,-175.2,25.19,83,40,5.14,TO,2023-11-07 19:06:09
227,touros,-5.1989,-35.4608,27.92,62,99,6.56,BR,2023-11-07 19:06:10
228,kuta,-8.7233,115.1723,25.97,94,40,2.68,ID,2023-11-07 19:06:12
229,laojunmiao,39.8333,97.7333,1.46,35,100,1.25,CN,2023-11-07 19:06:14
230,el porvenir,13.7617,-87.3458,28.63,70,89,0.67,HN,2023-11-07 19:06:15
231,alice springs,-23.7,133.8833,18.75,24,41,0.0,AU,2023-11-07 19:02:35
232,sitka,57.0531,-135.33,4.94,87,40,4.63,US,2023-11-07 19:06:18
233,nuuk,64.1835,-51.7216,0.34,59,75,3.09,GL,2023-11-07 19:06:19
234,fortaleza,-3.7227,-38.5247,31.71,62,0,7.2,BR,2023-11-07 18:58:47
235,beau vallon,-20.4189,57.6953,24.13,88,75,3.6,MU,2023-11-07 19:06:23
236,padangsidempuan,1.3667,99.2667,22.57,100,100,0.77,ID,2023-11-07 19:06:24
237,dudinka,69.4058,86.1778,-10.18,92,100,12.96,RU,2023-11-07 19:06:25
238,bayanhongor,46.7167,100.1167,-20.63,85,30,1.89,MN,2023-11-07 19:06:27
239,ratodero,27.803,68.2871,24.62,36,58,0.8,PK,2023-11-07 19:06:28
240,al jawf,29.5,38.75,23.25,37,0,2.32,SA,2023-11-07 19:06:29
241,pucallpa,-8.3791,-74.5539,34.02,52,75,1.03,PE,2023-11-07 19:03:43
242,nishinoomote,30.7333,131.0,19.13,56,100,2.06,JP,2023-11-07 19:06:31
243,el alto,-4.2714,-81.2147,24.81,69,11,9.06,PE,2023-11-07 19:06:32
244,tangalle,6.024,80.7911,24.09,88,100,1.5,LK,2023-11-07 19:06:34
245,urangan,-25.3,152.9,21.2,67,100,5.99,AU,2023-11-07 19:06:35
246,tazovsky,67.4667,78.7,-4.48,96,100,6.33,RU,2023-11-07 19:06:36
247,tanjung pinang,0.9167,104.45,26.02,81,59,0.82,ID,2023-11-07 19:06:37
248,saint-francois,46.4154,3.9054,7.58,93,0,2.06,FR,2023-11-07 19:06:38
249,lihue,21.9789,-159.3672,25.77,81,75,8.23,US,2023-11-07 19:06:40
250,mana,5.6592,-53.7767,29.54,72,41,5.72,GF,2023-11-07 19:06:41
251,fukushima,37.75,140.4678,13.41,60,14,0.89,JP,2023-11-07 19:06:42
252,robertsport,6.7533,-11.3686,27.4,82,21,3.6,LR,2023-11-07 19:06:43
253,mahibadhoo,3.7833,72.9667,26.51,80,100,1.62,MV,2023-11-07 19:06:44
254,raduzhnyy,62.0961,77.475,-2.17,96,100,5.14,RU,2023-11-07 19:06:46
255,praia,14.9215,-23.5087,27.3,74,20,8.75,CV,2023-11-07 19:06:47
256,darnah,32.767,22.6367,21.05,77,0,1.41,LY,2023-11-07 19:06:48
257,pisco,-13.7,-76.2167,23.03,68,0,4.12,PE,2023-11-07 19:06:49
258,gordonvale,-17.0936,145.7842,23.88,99,100,1.68,AU,2023-11-07 19:03:48
259,inarajan village,13.2736,144.7484,28.08,93,39,5.5,GU,2023-11-07 19:06:52
260,enriquillo,17.9,-71.2333,29.75,66,10,4.1,DO,2023-11-07 19:06:54
261,general acha,-37.377,-64.6043,25.88,14,5,15.1,AR,2023-11-07 19:06:56
262,vadso,70.0744,29.7487,1.09,86,75,4.63,NO,2023-11-07 19:06:57
263,mumbwa,-14.9783,27.0619,25.28,49,100,3.06,ZM,2023-11-07 19:06:58
264,westport,41.1415,-73.3579,19.09,70,0,4.63,US,2023-11-07 19:05:58
265,iwanai,42.9744,140.5089,7.12,86,100,2.81,JP,2023-11-07 19:07:00
266,jesup,31.6074,-81.8854,27.96,28,0,2.06,US,2023-11-07 19:07:01
267,kruisfontein,-34.0033,24.7314,13.4,88,23,4.28,ZA,2023-11-07 19:07:02
268,brisas de zicatela,15.8369,-97.0419,31.29,48,40,4.12,MX,2023-11-07 19:07:04
269,delligsen,51.9412,9.8027,9.73,87,79,4.29,DE,2023-11-07 19:07:05
270,gulf shores,30.246,-87.7008,27.94,61,73,1.79,US,2023-11-07 19:04:50
271,murray bridge,-35.1167,139.2667,11.85,94,15,3.0,AU,2023-11-07 19:07:07
272,qaqortoq,60.7167,-46.0333,3.0,49,100,2.36,GL,2023-11-07 19:07:09
273,egilsstadir,65.2653,-14.3948,-0.05,93,100,1.03,IS,2023-11-07 19:03:26
274,boguchany,58.3814,97.4531,-10.64,99,91,1.34,RU,2023-11-07 19:07:12
275,lethem,3.3803,-59.7968,35.44,39,100,3.69,GY,2023-11-07 19:07:14
276,prince rupert,54.3161,-130.3201,5.05,93,100,6.69,CA,2023-11-07 19:07:16
277,temiskaming shores,47.4938,-79.7153,-2.11,75,100,5.84,CA,2023-11-07 19:07:17
278,gadzhiyevo,69.2551,33.3362,0.58,76,100,5.42,RU,2023-11-07 19:07:18
279,dubrovnik,42.6481,18.0922,17.8,94,100,7.2,HR,2023-11-07 19:07:19
280,meadow lakes,61.6247,-149.6011,-1.06,93,75,2.57,US,2023-11-07 19:07:20
281,arteche,12.2645,125.4048,27.11,88,100,5.06,PH,2023-11-07 19:07:21
282,south hedland,-20.4089,118.5983,24.96,53,2,3.09,AU,2023-11-07 19:07:23
283,pyrzyce,53.1462,14.8926,10.15,82,100,4.67,PL,2023-11-07 19:07:24
284,kristiansund,63.1115,7.732,6.36,87,75,0.0,NO,2023-11-07 19:07:25
285,diebougou,10.9667,-3.25,31.14,25,0,1.95,BF,2023-11-07 19:07:26
286,hanzhong,33.0728,107.0303,12.53,83,73,0.65,CN,2023-11-07 19:07:28
287,burutu,5.3509,5.5076,26.32,84,96,2.33,NG,2023-11-07 19:07:29
288,farah,32.5,62.5,16.75,53,100,0.63,AF,2023-11-07 19:07:30
289,aktobe,50.2797,57.2072,3.05,87,40,7.0,KZ,2023-11-07 19:07:32
290,hell-ville,-13.4,48.2667,27.38,72,8,2.41,MG,2023-11-07 19:07:33
291,dunedin,-45.8742,170.5036,10.45,82,80,0.89,NZ,2023-11-07 19:07:34
292,villa berthet,-27.2917,-60.4126,43.04,17,0,6.16,AR,2023-11-07 19:07:35
293,ancud,-41.8697,-73.8203,11.46,71,98,6.15,CL,2023-11-07 19:07:36
294,kailua-kona,19.6406,-155.9956,26.39,85,75,2.57,US,2023-11-07 19:07:37
295,labuan,5.2767,115.2417,27.65,77,62,1.03,MY,2023-11-07 19:07:39
296,aginskoye,51.1,114.53,-11.44,95,100,2.27,RU,2023-11-07 19:07:40
